TEAM_ID,NICKNAME,Conference
 1610612737,Hawks,east
 1610612738,Celtics,east
 1610612740,Pelicans,west
 1610612741,Bulls,east
 1610612742,Mavericks,west
 1610612743,Nuggets,west
 1610612745,Rockets,west
 1610612746,Clippers,east
 1610612747,Lakers,west
 1610612748,Heat,east
 1610612749,Bucks,east
 1610612750,Timberwolve,wests
 1610612751,Nets,east
 1610612752,Knicks,east
 1610612753,Magic,east
 1610612754,Pacers,east
 1610612755,76ers,east
 1610612756,Suns,west
 1610612757,Trail Blazers,west
 1610612758,Kings,west
 1610612759,Spurs,west
 1610612760,Thunder,west
 1610612761,Raptors,east
 1610612762,Jazz,west
 1610612763,Grizzlies,west
 1610612764,Wizards,east
 1610612765,Pistons,east
 1610612766,Hornets,east
 1610612739,Cavaliers,east
 1610612744,Warriors,west
 